"UniqueID","RANK","sign-DISC","sign-REPL","NEW-Entrez-ID","NEW-Gene-ID","DISC: WB","Weight","Zscore","Direction","P","REPL: WB","Weight","Zscore","Direction","P","META: Weight","META: Zscore","META:Direction","META: P","REPL-cerebellum","Weight","Effect","SE","P","REPL-frontalcortex","Weight","Effect","SE","P","REPL-CD4+","Weight","Zscore","P","REPL-CD8+","Weight","Effect","SE","P","REPL-CD14+/monocytes","Weight","Zscore","P","REPL-LCLs","Weight","Effect","SE","P","REPL-LYMPHOCYTES","Weight","Effect","SE","P","REPL-PBMCs","Weight","Zscore","P"
16745,219,"y","y",5729,"PTGDR","++++++",7257,8.352,"+",6.72E-17,"++++++++",8009,11.36,"+",7.00E-30,15266,13.983,"+",1.98E-44,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,4.966,6.85E-07,"+",299,0.017,0.006,8.05E-03,"+-",567,1.027,3.04E-01,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",362,1.392,1.64E-01
33100,220,"y","y",55272,"IMP3","------",7257,-9.315,"-",1.22E-20,"---+----",8009,-10.41,"-",2.28E-25,15266,-13.961,"-",2.70E-44,"+",394,0.001,0.003,7.00E-01,"+",394,0.000,0.003,9.08E-01,"--",515,-3.052,2.27E-03,"-",299,-0.020,0.006,5.61E-04,"--",567,-4.257,2.08E-05,"+",869,0.002,0.001,1.88E-01,"?",0,"ns","ns","ns","++",362,0.153,8.78E-01
41747,221,"y","y",23157,"SEPT6","------",7257,-12.080,"-",1.34E-33,"-----+-?",4829,-7.22,"-",5.18E-13,12086,-13.925,"-",4.46E-44,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?",0,"ns","ns","?",0,"ns","ns","ns","?",0,"ns","ns","?",0,"ns","ns","ns","-",1244,-0.002,0.000,4.92E-08,"-?",134,-3.083,2.05E-03
21366,222,"y","y",59352,"LGR6","++-+++",7257,9.860,"+",6.19E-23,"++++++++",8009,9.84,"+",7.89E-23,15266,13.923,"+",4.62E-44,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?+",213,2.734,6.25E-03,"?",0,"ns","ns","ns","++",567,1.682,9.26E-02,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",362,3.180,1.47E-03
51172,223,"y","y",9533,"POLR1C","------",7257,-9.471,"-",2.77E-21,"--------",8009,-10.19,"-",2.13E-24,15266,-13.913,"-",5.28E-44,"+",394,0.018,0.003,1.02E-08,"+",394,0.011,0.003,1.40E-03,"?-",213,-1.408,1.59E-01,"?",0,"ns","ns","ns","--",567,-3.223,1.27E-03,"+",869,0.001,0.001,5.70E-01,"-",1244,-0.001,0.000,1.21E-05,"--",362,-1.578,1.15E-01
221,224,"y","y",5324,"PLAG1","------",7257,-10.741,"-",6.51E-27,"--------",8009,-8.96,"-",3.36E-19,15266,-13.893,"-",6.99E-44,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?-",213,-0.919,3.58E-01,"?",0,"ns","ns","ns","-?",213,-0.068,9.46E-01,"+",869,0.001,0.002,6.45E-01,"?",0,"ns","ns","ns","--",362,-2.087,3.69E-02
15527,225,"y","y",8313,"AXIN2","------",7257,-10.783,"-",4.13E-27,"---+----",8009,-8.90,"-",5.72E-19,15266,-13.879,"-",8.47E-44,"+",394,0.003,0.003,2.78E-01,"-",394,-0.001,0.003,7.03E-01,"--",515,-1.785,7.42E-02,"-",299,-0.011,0.007,1.17E-01,"+-",567,0.840,4.01E-01,"+",869,0.001,0.001,1.37E-01,"?",0,"ns","ns","ns","-+",362,-1.542,1.23E-01
10869,226,"y","y",7267,"TTC3","------",7257,-10.461,"-",1.30E-25,"--------",8009,-9.20,"-",3.69E-20,15266,-13.874,"-",9.09E-44,"-",394,-0.002,0.003,4.60E-01,"-",394,-0.010,0.003,1.92E-03,"--",515,-1.223,2.21E-01,"-",299,-0.018,0.005,1.48E-04,"-+",567,-0.061,9.51E-01,"-",869,-0.002,0.001,4.38E-03,"?",0,"ns","ns","ns","-+",362,0.132,8.95E-01
39404,227,"y","y",7694,"ZNF135","------",7257,-10.474,"-",1.14E-25,"-----??-",6325,-9.11,"-",8.23E-20,13582,-13.873,"-",9.25E-44,"-",394,-0.009,0.003,8.81E-03,"+",394,0.006,0.003,4.81E-02,"?-",213,-1.193,2.33E-01,"?",0,"ns","ns","ns","+?",213,2.802,5.08E-03,"-",869,-0.003,0.001,9.22E-04,"?",0,"ns","ns","ns","-?",134,-1.026,3.05E-01
48989,228,"y","y",199786,"FAM129C","------",7257,-8.756,"-",2.02E-18,"---+----",8009,-10.79,"-",3.89E-27,15266,-13.852,"-",1.25E-43,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?+",213,1.034,3.01E-01,"?",0,"ns","ns","ns","+-",567,0.232,8.17E-01,"-",869,-0.004,0.001,9.76E-05,"-",1244,-0.001,0.000,1.55E-04,"--",362,-2.337,1.94E-02
58213,229,"y","y",9806,"SPOCK2","------",7257,-11.590,"-",4.62E-31,"---+----",8009,-8.07,"-",6.98E-16,15266,-13.837,"-",1.53E-43,"+",394,0.001,0.003,6.96E-01,"+",394,0.006,0.004,9.27E-02,"+-",515,0.720,4.71E-01,"-",299,-0.006,0.005,2.00E-01,"--",567,-1.100,2.72E-01,"-",869,-0.001,0.001,3.59E-01,"-",1244,-0.002,0.001,4.84E-02,"-+",362,-0.012,9.90E-01
37032,230,"y","y",1266,"CNN3","------",7257,-11.546,"-",7.78E-31,"------?-",6552,-7.94,"-",2.09E-15,13809,-13.836,"-",1.54E-43,"-",394,-0.004,0.003,2.21E-01,"+",394,0.008,0.003,1.65E-02,"-+",515,-1.609,1.08E-01,"-",299,-0.009,0.002,5.44E-06,"+-",567,0.627,5.30E-01,"-",869,-0.012,0.003,2.49E-04,"?",0,"ns","ns","ns","-?",134,-2.536,1.12E-02
37329,231,"y","y",90594,"ZNF439","------",7257,-10.657,"-",1.62E-26,"--------",8009,-8.95,"-",3.56E-19,15266,-13.83,"-",1.68E-43,"+",394,0.003,0.003,4.27E-01,"-",394,0.000,0.003,8.98E-01,"--",515,-3.033,2.42E-03,"-",299,-0.024,0.004,1.27E-09,"--",567,-1.264,2.06E-01,"-",869,-0.004,0.001,3.09E-03,"?",0,"ns","ns","ns","--",362,-2.907,3.64E-03
18502,232,"y","y",57504,"MTA3","------",7257,-8.902,"-",5.46E-19,"--------",8009,-10.60,"-",3.13E-26,15266,-13.812,"-",2.15E-43,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?-",213,-5.745,9.20E-09,"?",0,"ns","ns","ns","-+",567,-0.788,4.31E-01,"-",869,-0.001,0.001,6.16E-01,"?",0,"ns","ns","ns","-?",134,-0.706,4.80E-01
58674,233,"y","y",84417,"C2orf40","------",7257,-9.381,"-",6.52E-21,"---?-?--",7423,-10.13,"-",4.23E-24,14680,-13.797,"-",2.67E-43,"-",394,-0.023,0.003,1.61E-10,"?",0,"ns","ns","ns","-+",515,-0.080,9.37E-01,"-",299,-0.006,0.002,1.36E-03,"+?",213,1.646,9.98E-02,"+",869,0.000,0.001,9.78E-01,"-",1244,-0.001,0.000,2.78E-14,"-?",134,-1.598,1.10E-01
7195,234,"y","y",115362,"GBP5","++++++",7257,9.115,"+",7.88E-20,"++++++++",8009,10.37,"+",3.55E-25,15266,13.792,"+",2.83E-43,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?+",213,2.432,1.50E-02,"?",0,"ns","ns","ns","-+",567,2.205,2.75E-02,"-",869,-0.001,0.003,5.59E-01,"+",1244,0.006,0.001,5.94E-17,"++",362,0.778,4.36E-01
13143,235,"y","y",114915,"EPB41L4A-AS1","------",7257,-10.271,"-",9.49E-25,"--------",8009,-9.25,"-",2.18E-20,15266,-13.784,"-",3.18E-43,"+",394,0.006,0.004,8.86E-02,"-",394,-0.014,0.003,1.46E-05,"-?",302,-0.543,5.87E-01,"-",299,-0.021,0.005,5.12E-05,"?-",354,-1.457,1.45E-01,"?",0,"ns","ns","ns","-",1244,-0.003,0.000,2.68E-09,"-?",134,-2.647,8.12E-03
31335,236,"y","y",1942,"EFNA1","------",7257,-13.187,"-",1.04E-39,"-----??-",6325,-6.05,"-",1.42E-09,13582,-13.77,"-",3.85E-43,"+",394,0.005,0.003,1.51E-01,"+",394,0.010,0.003,1.66E-03,"--",515,-5.125,2.98E-07,"-",299,-0.024,0.003,5.71E-12,"++",567,2.352,1.87E-02,"-",869,-0.002,0.001,4.15E-03,"?",0,"ns","ns","ns","-?",134,-2.214,2.68E-02
21941,237,"y","y",8553,"BHLHE40","++++++",7257,9.512,"+",1.88E-21,"++++-+++",8009,9.95,"+",2.65E-23,15266,13.761,"+",4.36E-43,"+",394,0.015,0.003,1.19E-06,"+",394,0.006,0.004,1.14E-01,"?",0,"ns","ns","?",0,"ns","ns","ns","?+",354,0.727,4.67E-01,"?",0,"ns","ns","ns","+",1244,0.005,0.001,3.45E-08,"+?",134,0.090,9.28E-01
19004,238,"y","y",60489,"APOBEC3G","++++++",7257,9.547,"+",1.34E-21,"+++-++++",8009,9.90,"+",4.03E-23,15266,13.755,"+",4.74E-43,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?+",213,4.878,1.07E-06,"?",0,"ns","ns","ns","--",567,-1.098,2.72E-01,"-",869,-0.001,0.001,5.77E-01,"+",1244,0.003,0.000,2.23E-10,"++",362,0.882,3.78E-01
13064,239,"y","y",10172,"ZNF256","------",7257,-11.172,"-",5.59E-29,"--------",8009,-8.34,"-",7.27E-17,15266,-13.745,"-",5.43E-43,"+",394,0.009,0.004,1.01E-02,"?",0,"ns","ns","ns","--",515,-3.294,9.86E-04,"-",299,-0.034,0.006,1.11E-08,"+-",567,-0.432,6.65E-01,"-",869,-0.001,0.001,3.27E-01,"-",1244,-0.002,0.000,3.84E-13,"+?",134,0.478,6.33E-01
20421,240,"y","y",4026,"LPP","++++++",7257,9.421,"+",4.46E-21,"+++?++++",7650,9.98,"+",1.83E-23,14907,13.724,"+",7.29E-43,"+",394,0.013,0.003,6.64E-06,"+",394,0.007,0.003,1.69E-02,"++",515,0.747,4.55E-01,"+",299,0.007,0.006,2.42E-01,"-+",567,3.817,1.35E-04,"-",869,-0.002,0.001,1.92E-01,"?",0,"ns","ns","ns","-+",362,2.264,2.36E-02
17114,241,"y","y",128346,"C1orf162","++++++",7257,11.010,"+",3.43E-28,"++++++++",8009,8.44,"+",3.23E-17,15266,13.703,"+",9.80E-43,"+",394,0.017,0.003,1.86E-10,"+",394,0.011,0.002,5.18E-06,"++",515,3.478,5.06E-04,"+",299,0.018,0.006,3.44E-03,"+?",213,0.207,8.36E-01,"-",869,-0.005,0.003,4.10E-02,"+",1244,0.001,0.001,4.05E-01,"+-",362,0.020,9.84E-01
26715,242,"y","y",57185,"NIPAL3","------",7257,-10.000,"-",1.52E-23,"---+---?",4829,-9.41,"-",4.80E-21,12086,-13.699,"-",1.03E-42,"+",394,0.012,0.003,1.50E-04,"+",394,0.006,0.003,7.68E-02,"-?",302,-0.532,5.95E-01,"-",299,-0.013,0.005,5.66E-03,"?+",354,2.091,3.65E-02,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","-?",134,-2.256,2.41E-02
4198,243,"y","y",5027,"P2RX7","++++++",7257,10.197,"+",2.05E-24,"++++++++",8009,9.17,"+",4.60E-20,15266,13.675,"+",1.44E-42,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?+",213,0.645,5.19E-01,"?",0,"ns","ns","ns","-+",567,-0.052,9.58E-01,"-",869,0.000,0.002,9.24E-01,"?",0,"ns","ns","ns","-+",362,-0.556,5.78E-01
17572,244,"y","y",56915,"EXOSC5","------",7257,-9.408,"-",5.05E-21,"--------",8009,-9.90,"-",4.27E-23,15266,-13.655,"-",1.87E-42,"-",394,-0.004,0.003,1.90E-01,"-",394,-0.006,0.003,6.29E-02,"+-",515,0.208,8.36E-01,"-",299,-0.003,0.002,8.66E-02,"--",567,-3.220,1.28E-03,"+",869,0.001,0.001,2.35E-01,"?",0,"ns","ns","ns","--",362,-0.687,4.92E-01
21689,245,"y","y",788,"SLC25A20","++++++",7257,11.621,"+",3.21E-31,"+++---++",8009,7.72,"+",1.14E-14,15266,13.606,"+",3.68E-42,"?",0,"ns","ns","ns","+",394,0.005,0.003,1.30E-01,"++",515,2.620,8.78E-03,"+",299,0.009,0.004,3.55E-02,"-+",567,1.568,1.17E-01,"+",869,0.000,0.001,7.59E-01,"?",0,"ns","ns","ns","+-",362,-0.573,5.67E-01
5533,246,"y","y",139716,"GAB3","++++++",7257,8.630,"+",6.13E-18,"+++-++++",8009,10.57,"+",4.20E-26,15266,13.605,"+",3.76E-42,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?",0,"ns","ns","?",0,"ns","ns","ns","?+",354,2.741,6.12E-03,"-",869,-0.002,0.001,4.56E-02,"?",0,"ns","ns","ns","++",362,0.345,7.30E-01
12708,247,"y","y",85315,"PAQR8","------",7257,-11.875,"-",1.59E-32,"--------",8009,-7.39,"-",1.51E-13,15266,-13.538,"-",9.37E-42,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","+-",515,-0.131,8.96E-01,"-",299,-0.015,0.004,6.72E-04,"++",567,1.498,1.34E-01,"-",869,-0.001,0.001,4.23E-01,"?",0,"ns","ns","ns","++",362,0.576,5.65E-01
30643,248,"y","y",55556,"ENOSF1","------",7257,-9.890,"-",4.62E-23,"--------",8009,-9.28,"-",1.77E-20,15266,-13.537,"-",9.48E-42,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-2.619,8.82E-03,"-",299,-0.026,0.006,7.49E-05,"-+",567,-0.097,9.23E-01,"-",869,-0.005,0.002,8.89E-04,"?",0,"ns","ns","ns","--",362,-2.926,3.43E-03
42098,249,"y","y",3646,"EIF3E","------",7257,-9.556,"-",1.22E-21,"--------",8009,-9.58,"-",9.34E-22,15266,-13.531,"-",1.03E-41,"+",394,0.011,0.004,1.92E-03,"+",394,0.012,0.003,3.60E-04,"--",515,-1.794,7.29E-02,"-",299,-0.024,0.004,8.04E-09,"-+",567,-1.684,9.22E-02,"-",869,-0.002,0.001,7.45E-02,"?",0,"ns","ns","ns","-+",362,-0.465,6.42E-01
9250,250,"y","y",3543,"IGLL1","-----+",7257,-8.157,"-",3.42E-16,"-------+",8009,-10.91,"-",9.88E-28,15266,-13.53,"-",1.05E-41,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","-+",515,-0.527,5.98E-01,"-",299,-0.024,0.012,4.66E-02,"+-",567,-1.699,8.93E-02,"-",869,-0.002,0.001,2.58E-02,"?",0,"ns","ns","ns","-?",134,-2.063,3.91E-02
52690,251,"y","y",8320,"EOMES","++-+++",7257,9.242,"+",2.42E-20,"++++++++",8009,9.87,"+",5.59E-23,15266,13.521,"+",1.17E-41,"-",394,-0.014,0.003,1.23E-05,"?",0,"ns","ns","ns","?+",213,4.915,8.87E-07,"?",0,"ns","ns","ns","++",567,1.083,2.79E-01,"?",0,"ns","ns","ns","+",1244,0.009,0.001,1.62E-26,"++",362,1.631,1.03E-01
54502,252,"y","y",54881,"TEX10","------",7257,-9.604,"-",7.67E-22,"--------",8009,-9.52,"-",1.66E-21,15266,-13.521,"-",1.18E-41,"+",394,0.009,0.003,2.08E-03,"+",394,0.002,0.003,6.12E-01,"?-",213,-2.695,7.04E-03,"?",0,"ns","ns","ns","--",567,-3.318,9.08E-04,"+",869,0.001,0.001,4.71E-01,"?",0,"ns","ns","ns","--",362,-3.555,3.78E-04
5148,253,"y","y",9500,"MAGED1","------",7257,-9.253,"-",2.19E-20,"--------",8009,-9.84,"-",7.91E-23,15266,-13.503,"-",1.49E-41,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","-?",302,-1.359,1.74E-01,"-",299,-0.023,0.005,1.60E-05,"?+",354,0.902,3.67E-01,"+",869,0.002,0.001,1.37E-01,"?",0,"ns","ns","ns","-+",362,0.046,9.63E-01
2286,254,"y","y",7071,"KLF10","++++++",7257,9.250,"+",2.25E-20,"?+++-??+",5363,9.95,"+",2.64E-23,12620,13.498,"+",1.62E-41,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,4.005,6.19E-05,"+",299,0.008,0.003,2.20E-02,"-+",567,0.015,9.88E-01,"+",869,0.002,0.001,1.42E-01,"?",0,"ns","ns","ns","+-",362,-0.133,8.95E-01
24145,255,"y","y",53347,"UBASH3A","------",7257,-10.841,"-",2.21E-27,"---+----",8009,-8.27,"-",1.34E-16,15266,-13.464,"-",2.54E-41,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","+-",515,-0.938,3.48E-01,"-",299,-0.018,0.005,1.29E-03,"+-",567,-0.238,8.12E-01,"-",869,-0.003,0.001,1.20E-04,"?",0,"ns","ns","ns","--",362,-1.656,9.76E-02
66141,256,"y","y",6711,"SPTBN1","------",7257,-11.574,"-",5.60E-31,"-----+--",8009,-7.55,"-",4.22E-14,15266,-13.451,"-",3.03E-41,"+",394,0.007,0.003,6.91E-03,"-",394,-0.001,0.003,7.11E-01,"--",515,-3.156,1.60E-03,"-",299,-0.006,0.013,6.66E-01,"-+",567,-1.233,2.18E-01,"-",869,-0.004,0.001,1.66E-04,"?",0,"ns","ns","ns","--",362,-4.158,3.21E-05
42689,257,"y","y",9788,"MTSS1","++-+++",7257,7.898,"+",2.83E-15,"++++++++",8009,11.04,"+",2.46E-28,15266,13.442,"+",3.44E-41,"-",394,-0.006,0.003,4.61E-02,"-",394,-0.005,0.003,1.46E-01,"++",515,1.076,2.82E-01,"+",299,0.006,0.003,3.19E-02,"++",567,0.415,6.79E-01,"-",869,-0.003,0.002,8.25E-02,"?",0,"ns","ns","ns","++",362,1.835,6.65E-02
1764,258,"y","y",3298,"HSF2","------",7257,-9.777,"-",1.41E-22,"--------",8009,-9.23,"-",2.64E-20,15266,-13.428,"-",4.12E-41,"-",394,-0.001,0.003,7.86E-01,"-",394,-0.001,0.003,8.24E-01,"--",515,-2.796,5.17E-03,"-",299,-0.026,0.007,1.37E-04,"-+",567,-0.559,5.76E-01,"+",869,0.001,0.001,5.34E-01,"-",1244,-0.003,0.000,7.80E-13,"--",362,-1.814,6.97E-02
62641,259,"y","y",5778,"PTPN7","++-+++",7257,7.835,"+",4.67E-15,"++++++++",8009,11.03,"+",2.82E-28,15266,13.39,"+",6.95E-41,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,1.816,6.94E-02,"+",299,0.023,0.006,3.63E-04,"++",567,1.574,1.15E-01,"+",869,0.001,0.001,2.39E-01,"?",0,"ns","ns","ns","++",362,1.704,8.84E-02
52261,260,"y","y",23370,"ARHGEF18","------",7257,-9.188,"-",4.01E-20,"--------",8009,-9.74,"-",2.11E-22,15266,-13.387,"-",7.22E-41,"-",394,-0.003,0.004,3.38E-01,"+",394,0.008,0.003,1.10E-02,"--",515,-1.535,1.25E-01,"-",299,-0.010,0.005,4.58E-02,"-+",567,1.622,1.05E-01,"-",869,-0.001,0.001,8.66E-02,"-",1244,-0.001,0.000,2.01E-03,"--",362,-3.249,1.16E-03
51427,261,"y","y",10131,"TRAP1","------",7257,-9.275,"-",1.78E-20,"-----+--",8009,-9.65,"-",4.96E-22,15266,-13.384,"-",7.54E-41,"+",394,0.004,0.003,2.28E-01,"-",394,-0.005,0.003,1.03E-01,"--",515,-1.233,2.17E-01,"-",299,-0.014,0.005,3.99E-03,"--",567,-2.274,2.29E-02,"+",869,0.002,0.001,2.27E-02,"-",1244,-0.002,0.000,2.67E-09,"--",362,-2.379,1.73E-02
59888,262,"y","y",128553,"TSHZ2","+--+++",7257,6.329,"+",2.47E-10,"++++-+++",8009,12.45,"+",1.36E-35,15266,13.383,"+",7.62E-41,"?",0,"ns","ns","ns","+",394,0.006,0.003,3.65E-02,"++",515,3.533,4.11E-04,"+",299,0.006,0.005,2.22E-01,"+-",567,-0.248,8.04E-01,"+",869,0.002,0.001,6.33E-02,"?",0,"ns","ns","ns","-?",134,-1.366,1.72E-01
40664,263,"y","y",8667,"EIF3H","------",7257,-10.904,"-",1.11E-27,"--------",8009,-8.09,"-",5.85E-16,15266,-13.379,"-",8.02E-41,"-",394,-0.003,0.003,2.89E-01,"-",394,-0.005,0.003,1.08E-01,"?-",213,-0.872,3.83E-01,"?",0,"ns","ns","ns","--",567,-3.533,4.11E-04,"-",869,-0.002,0.001,1.19E-03,"?",0,"ns","ns","ns","-+",362,-1.594,1.11E-01
3779,264,"y","y",6645,"SNTB2","++-+++",7257,8.321,"+",8.70E-17,"++++++++",8009,10.55,"+",5.08E-26,15266,13.379,"+",8.04E-41,"+",394,0.010,0.003,1.23E-04,"+",394,0.004,0.003,1.88E-01,"++",515,2.546,1.09E-02,"+",299,0.016,0.006,8.90E-03,"-+",567,4.186,2.84E-05,"+",869,0.002,0.001,1.88E-02,"?",0,"ns","ns","ns","++",362,2.113,3.46E-02
51956,265,"y","y",162972,"ZNF550","--+---",7257,-9.841,"-",7.46E-23,"--------",8009,-9.05,"-",1.45E-19,15266,-13.339,"-",1.37E-40,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-1.656,9.78E-02,"-",299,-0.019,0.004,1.14E-05,"++",567,0.618,5.37E-01,"-",869,-0.003,0.001,4.85E-03,"-",1244,-0.002,0.000,6.65E-16,"--",362,-1.824,6.81E-02
38334,266,"y","y",53335,"BCL11A","------",7257,-9.285,"-",1.62E-20,"---++---",8009,-9.58,"-",9.98E-22,15266,-13.338,"-",1.38E-40,"?",0,"ns","ns","ns","-",394,-0.007,0.004,4.57E-02,"--",515,-3.909,9.26E-05,"-",299,0.000,0.004,9.49E-01,"-+",567,0.187,8.51E-01,"-",869,0.000,0.002,8.50E-01,"?",0,"ns","ns","ns","--",362,-2.193,2.83E-02
34224,267,"y","y",1495,"CTNNA1","++++++",7257,9.504,"+",2.02E-21,"++++++++",8009,9.37,"+",7.56E-21,15266,13.336,"+",1.42E-40,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,3.924,8.71E-05,"+",299,0.014,0.005,3.06E-03,"-+",567,0.102,9.19E-01,"-",869,-0.001,0.001,3.42E-01,"?",0,"ns","ns","ns","+-",362,-0.556,5.78E-01
60478,268,"y","y",3111,"HLA-DOA","------",7257,-8.359,"-",6.34E-17,"--------",8009,-10.45,"-",1.55E-25,15266,-13.328,"-",1.58E-40,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-1.936,5.29E-02,"-",299,-0.029,0.004,1.32E-11,"-+",567,0.701,4.84E-01,"-",869,-0.003,0.001,7.01E-02,"?",0,"ns","ns","ns","--",362,-0.725,4.69E-01
63583,269,"y","y",3587,"IL10RA","++-+++",7257,7.809,"+",5.75E-15,"++-+++++",8009,10.92,"+",9.62E-28,15266,13.291,"+",2.60E-40,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,6.455,1.09E-10,"+",299,0.023,0.006,4.55E-05,"-+",567,3.162,1.57E-03,"-",869,-0.002,0.001,2.78E-02,"+",1244,0.003,0.000,7.42E-13,"++",362,2.406,1.61E-02
34018,270,"y","y",7184,"HSP90B1","------",7257,-9.347,"-",9.01E-21,"--------",8009,-9.44,"-",3.58E-21,15266,-13.285,"-",2.82E-40,"-",394,-0.007,0.003,3.64E-02,"+",394,0.003,0.003,3.52E-01,"+-",515,0.153,8.79E-01,"-",299,-0.002,0.005,6.76E-01,"-+",567,0.036,9.72E-01,"+",869,0.004,0.001,1.29E-03,"-",1244,-0.002,0.001,5.13E-04,"--",362,-3.233,1.23E-03
63830,271,"y","y",6319,"SCD","------",7257,-8.186,"-",2.71E-16,"--------",8009,-10.52,"-",6.81E-26,15266,-13.265,"-",3.68E-40,"-",394,-0.012,0.004,6.04E-04,"+",394,0.002,0.004,5.19E-01,"--",515,-2.547,1.09E-02,"-",299,-0.016,0.005,1.25E-03,"--",567,-3.070,2.14E-03,"-",869,-0.005,0.002,6.67E-03,"?",0,"ns","ns","ns","--",362,-2.269,2.33E-02
37076,272,"y","y",64425,"POLR1E","------",7257,-10.564,"-",4.40E-26,"--------",8009,-8.21,"-",2.30E-16,15266,-13.226,"-",6.18E-40,"+",394,0.007,0.003,3.68E-02,"+",394,0.011,0.003,6.37E-04,"--",515,-1.173,2.41E-01,"-",299,-0.023,0.004,2.03E-07,"--",567,-3.160,1.58E-03,"+",869,0.000,0.001,9.54E-01,"-",1244,-0.002,0.000,1.47E-08,"-+",362,0.399,6.90E-01
30484,273,"y","y",6638,"SNRPN","------",7257,-9.249,"-",2.27E-20,"--------",8009,-9.43,"-",4.11E-21,15266,-13.207,"-",8.01E-40,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?-",213,-3.223,1.27E-03,"?",0,"ns","ns","ns","--",567,-2.818,4.83E-03,"-",869,-0.001,0.001,2.11E-01,"?",0,"ns","ns","ns","--",362,-2.536,1.12E-02
18628,274,"y","y",6272,"SORT1","++++++",7257,10.127,"+",4.21E-24,"++++++++",8009,8.56,"+",1.11E-17,15266,13.184,"+",1.09E-39,"-",394,-0.003,0.003,3.52E-01,"+",394,0.017,0.003,3.72E-08,"++",515,0.007,9.94E-01,"+",299,0.007,0.003,1.21E-02,"--",567,-1.878,6.05E-02,"-",869,-0.004,0.003,1.84E-01,"?",0,"ns","ns","ns","+-",362,-0.947,3.43E-01
6280,275,"y","y",158,"ADSL","------",7257,-9.306,"-",1.32E-20,"--------",8009,-9.33,"-",1.08E-20,15266,-13.173,"-",1.26E-39,"+",394,0.002,0.003,5.81E-01,"-",394,-0.003,0.003,3.35E-01,"--",515,-2.133,3.29E-02,"-",299,-0.019,0.004,2.08E-06,"--",567,-2.940,3.28E-03,"+",869,0.004,0.001,2.96E-05,"-",1244,-0.002,0.000,1.42E-13,"--",362,-2.359,1.83E-02
39659,276,"y","y",51520,"LARS","------",7257,-9.079,"-",1.10E-19,"--------",8009,-9.54,"-",1.46E-21,15266,-13.168,"-",1.35E-39,"+",394,0.008,0.003,1.69E-02,"-",394,-0.003,0.003,3.81E-01,"+-",515,-0.034,9.73E-01,"-",299,-0.005,0.005,3.60E-01,"--",567,-1.722,8.50E-02,"-",869,-0.003,0.001,8.50E-03,"?",0,"ns","ns","ns","--",362,-3.456,5.49E-04
27806,277,"y","y",6856,"SYPL1","------",7257,-9.875,"-",5.35E-23,"---+----",8009,-8.78,"-",1.71E-18,15266,-13.164,"-",1.41E-39,"-",394,-0.009,0.003,7.05E-03,"-",394,-0.001,0.004,8.16E-01,"--",515,-0.962,3.36E-01,"-",299,-0.009,0.005,7.42E-02,"-+",567,-0.591,5.55E-01,"+",869,0.003,0.001,2.33E-02,"?",0,"ns","ns","ns","-+",362,-0.541,5.88E-01
11246,278,"y","y",5732,"PTGER2","++++++",7257,9.062,"+",1.29E-19,"++++--++",8009,9.52,"+",1.76E-21,15266,13.142,"+",1.90E-39,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,6.500,8.03E-11,"+",299,0.024,0.009,9.40E-03,"++",567,3.699,2.16E-04,"?",0,"ns","ns","ns","+",1244,0.003,0.000,1.03E-15,"-+",362,2.137,3.26E-02
8378,279,"y","y",81539,"SLC38A1","------",7257,-10.049,"-",9.24E-24,"--------",8009,-8.56,"-",1.10E-17,15266,-13.131,"-",2.19E-39,"-",394,-0.007,0.003,3.07E-02,"-",394,-0.004,0.003,3.08E-01,"--",515,-0.884,3.77E-01,"-",299,-0.012,0.010,2.56E-01,"--",567,-2.134,3.29E-02,"-",869,0.000,0.001,7.65E-01,"?",0,"ns","ns","ns","-+",362,-0.701,4.84E-01
