"UniqueID","RANK","sign-DISC","sign-REPL","NEW-Entrez-ID","NEW-Gene-ID","DISC: WB","Weight","Zscore","Direction","P","REPL: WB","Weight","Zscore","Direction","P","META: Weight","META: Zscore","META:Direction","META: P","REPL-cerebellum","Weight","Effect","SE","P","REPL-frontalcortex","Weight","Effect","SE","P","REPL-CD4+","Weight","Zscore","P","REPL-CD8+","Weight","Effect","SE","P","REPL-CD14+/monocytes","Weight","Zscore","P","REPL-LCLs","Weight","Effect","SE","P","REPL-LYMPHOCYTES","Weight","Effect","SE","P","REPL-PBMCs","Weight","Zscore","P"
36165,14,"y","y",9289,"GPR56","++-+++",7257,17.524,"+",9.47E-69,"++++++++",8009,19.02,"+",1.21E-80,15266,25.857,"+",2.03E-147,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?+",213,2.954,3.14E-03,"?",0,"ns","ns","ns","++",567,3.427,6.11E-04,"-",869,-0.001,0.001,2.68E-01,"?",0,"ns","ns","ns","++",362,1.701,8.89E-02
19968,15,"y","y",60468,"BACH2","------",7257,-17.824,"-",4.64E-71,"--------",8009,-17.75,"-",1.85E-70,15266,-25.142,"-",1.71E-139,"-",394,-0.002,0.004,6.08E-01,"?",0,"ns","ns","ns","?-",213,-2.231,2.57E-02,"?",0,"ns","ns","ns","+-",567,-1.020,3.08E-01,"-",869,-0.001,0.001,5.33E-02,"-",1244,-0.003,0.000,4.89E-17,"--",362,-2.616,8.90E-03
10095,16,"y","y",23208,"SYT11","++-+++",7257,17.225,"+",1.72E-66,"++++++++",8009,18.23,"+",3.24E-74,15266,25.077,"+",8.82E-139,"-",394,-0.007,0.003,2.94E-02,"-",394,-0.007,0.003,2.48E-02,"++",515,5.127,2.95E-07,"+",299,0.038,0.007,1.93E-08,"-+",567,2.896,3.78E-03,"-",869,-0.001,0.001,3.55E-01,"+",1244,0.007,0.000,3.02E-69,"++",362,3.070,2.14E-03
17155,17,"y","y",5152,"PDE9A","------",7257,-17.210,"-",2.22E-66,"--------",8009,-18.20,"-",5.44E-74,15266,-25.046,"-",1.91E-138,"-",394,-0.002,0.003,5.55E-01,"-",394,-0.002,0.004,5.93E-01,"--",515,-6.337,2.34E-10,"-",299,-0.051,0.008,1.74E-10,"+?",213,0.640,5.22E-01,"-",869,-0.005,0.001,8.23E-07,"?",0,"ns","ns","ns","-?",134,-3.295,9.83E-04
42901,18,"y","y",9241,"NOG","------",7257,-17.006,"-",7.41E-65,"--------",8009,-17.52,"-",9.87E-69,15266,-24.416,"-",1.16E-131,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-3.835,1.26E-04,"-",299,-0.005,0.002,5.89E-03,"+?",213,0.388,6.98E-01,"+",869,0.002,0.001,8.03E-02,"-",1244,-0.001,0.000,3.86E-15,"--",362,-2.648,8.10E-03
42391,19,"y","y",2317,"FLNB","------",7257,-15.780,"-",4.26E-56,"--------",8009,-18.61,"-",2.87E-77,15266,-24.357,"-",4.94E-131,"-",394,-0.005,0.003,9.10E-02,"+",394,0.014,0.003,1.83E-05,"--",515,-10.805,3.27E-27,"-",299,-0.049,0.006,2.29E-14,"++",567,2.727,6.39E-03,"-",869,-0.003,0.002,1.63E-01,"-",1244,-0.004,0.000,4.25E-40,"--",362,-2.667,7.64E-03
1683,20,"y","y",4907,"NT5E","------",7257,-17.453,"-",3.29E-68,"-----?--",7782,-16.59,"-",8.23E-62,15039,-24.057,"-",6.98E-128,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-2.629,8.57E-03,"-",299,-0.024,0.005,1.95E-06,"+-",567,-0.416,6.78E-01,"-",869,-0.001,0.003,7.76E-01,"-",1244,-0.004,0.000,1.92E-22,"--",362,-2.822,4.77E-03
63678,21,"y","y",83888,"FGFBP2","++++++",7257,17.449,"+",3.51E-68,"+++-++++",8009,15.79,"+",3.51E-56,15266,23.469,"+",8.43E-122,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,4.147,3.37E-05,"+",299,0.052,0.019,5.50E-03,"++",567,2.451,1.43E-02,"?",0,"ns","ns","ns","+",1244,0.010,0.001,2.53E-17,"++",362,2.014,4.40E-02
22336,22,"y","y",7049,"TGFBR3","++++++",7257,14.997,"+",7.73E-51,"++++++++",8009,17.66,"+",9.15E-70,15266,23.128,"+",2.41E-118,"+",394,0.001,0.003,6.67E-01,"+",394,0.009,0.003,2.22E-03,"?+",213,4.089,4.33E-05,"?",0,"ns","ns","ns","+-",567,1.513,1.30E-01,"+",869,0.002,0.003,4.32E-01,"?",0,"ns","ns","ns","++",362,3.276,1.05E-03
66070,23,"y","y",81618,"ITM2C","------",7257,-14.414,"-",4.24E-47,"--------",8009,-17.73,"-",2.45E-70,15266,-22.78,"-",7.22E-115,"+",394,0.001,0.003,8.18E-01,"-",394,0.000,0.003,9.68E-01,"--",515,-3.162,1.57E-03,"-",299,-0.023,0.005,3.20E-05,"+-",567,-1.945,5.18E-02,"+",869,0.001,0.001,2.50E-01,"?",0,"ns","ns","ns","--",362,-3.707,2.10E-04
37087,24,"y","y",80063,"ATF7IP2","------",7257,-15.515,"-",2.73E-54,"--------",8009,-16.61,"-",5.85E-62,15266,-22.729,"-",2.34E-114,"?",0,"ns","ns","ns","-",394,-0.011,0.003,1.31E-03,"--",515,-3.169,1.53E-03,"-",299,-0.020,0.005,5.04E-05,"-+",567,-0.203,8.39E-01,"+",869,0.003,0.001,1.43E-02,"-",1244,-0.005,0.001,9.87E-22,"--",362,-5.918,3.27E-09
34551,25,"y","y",1380,"CR2","------",7257,-16.293,"-",1.10E-59,"--------",8009,-15.85,"-",1.51E-56,15266,-22.711,"-",3.49E-114,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-6.384,1.73E-10,"-",299,-0.007,0.003,2.37E-02,"+-",567,-1.029,3.04E-01,"-",869,-0.012,0.003,2.19E-04,"?",0,"ns","ns","ns","--",362,-3.800,1.45E-04
48770,26,"y","y",9214,"FAIM3","------",7257,-17.917,"-",8.65E-72,"--------",8009,-14.22,"-",7.40E-46,15266,-22.65,"-",1.41E-113,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-1.392,1.64E-01,"-",299,-0.044,0.007,7.74E-10,"--",567,-2.211,2.71E-02,"-",869,0.000,0.002,8.93E-01,"-",1244,-0.006,0.001,2.42E-13,"--",362,-2.214,2.69E-02
45536,27,"y","y",26227,"PHGDH","------",7257,-13.249,"-",4.56E-40,"--------",8009,-18.30,"-",8.10E-75,15266,-22.391,"-",4.85E-111,"-",394,-0.003,0.003,3.91E-01,"+",394,0.013,0.003,2.23E-04,"--",515,-6.999,2.58E-12,"-",299,-0.058,0.007,1.81E-15,"+-",567,0.498,6.18E-01,"-",869,0.000,0.002,9.14E-01,"-",1244,-0.005,0.000,8.10E-32,"-?",134,-2.059,3.95E-02
21050,28,"y","y",3945,"LDHB","------",7257,-15.633,"-",4.33E-55,"--------",8009,-15.96,"-",2.42E-57,15266,-22.339,"-",1.55E-110,"-",394,-0.007,0.003,6.91E-03,"-",394,-0.012,0.003,1.56E-06,"--",515,-1.967,4.92E-02,"-",299,-0.036,0.007,4.94E-07,"--",567,-2.784,5.37E-03,"+",869,0.003,0.001,6.73E-03,"?",0,"ns","ns","ns","-+",362,-1.503,1.33E-01
60140,29,"y","y",55423,"SIRPG","------",7257,-15.636,"-",4.16E-55,"--------",8009,-15.45,"-",7.71E-54,15266,-21.97,"-",5.58E-107,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","+-",515,0.496,6.20E-01,"-",299,-0.017,0.004,5.22E-05,"+-",567,0.188,8.51E-01,"-",869,-0.004,0.001,4.84E-03,"?",0,"ns","ns","ns","--",362,-1.365,1.72E-01
61240,30,"y","y",343413,"FCRL6","++++++",7257,13.285,"+",2.83E-40,"+++-++++",8009,17.65,"+",9.90E-70,15266,21.945,"+",9.70E-107,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?+",213,3.681,2.32E-04,"?",0,"ns","ns","ns","+-",567,1.148,2.51E-01,"+",869,0.000,0.001,8.67E-01,"?",0,"ns","ns","ns","+?",134,0.155,8.77E-01
62618,31,"y","y",5150,"PDE7A","------",7257,-15.584,"-",9.40E-55,"--------",8009,-15.37,"-",2.68E-53,15266,-21.876,"-",4.42E-106,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","--",515,-2.387,1.70E-02,"-",299,-0.034,0.007,6.56E-06,"--",567,-1.615,1.06E-01,"+",869,0.001,0.001,6.25E-01,"-",1244,-0.001,0.000,9.83E-08,"--",362,-2.776,5.51E-03
26051,32,"y","y",51070,"NOSIP","------",7257,-14.435,"-",3.12E-47,"--------",8009,-16.19,"-",5.74E-59,15266,-21.681,"-",3.13E-104,"-",394,0.000,0.003,9.23E-01,"+",394,0.006,0.003,1.03E-01,"--",515,-2.215,2.68E-02,"-",299,-0.034,0.008,2.05E-05,"+-",567,-1.045,2.96E-01,"-",869,0.000,0.001,8.09E-01,"-",1244,-0.007,0.001,1.68E-27,"--",362,-2.515,1.19E-02
7874,33,"y","y",10606,"PAICS","------",7257,-16.001,"-",1.26E-57,"--------",8009,-14.34,"-",1.29E-46,15266,-21.416,"-",9.39E-102,"+",394,0.001,0.003,8.20E-01,"+",394,0.014,0.003,4.02E-06,"--",515,-3.315,9.16E-04,"-",299,-0.028,0.005,2.85E-08,"-+",567,-1.750,8.01E-02,"+",869,0.003,0.001,3.58E-04,"?",0,"ns","ns","ns","--",362,-2.697,6.99E-03
43329,34,"y","y",28969,"BZW2","------",7257,-14.927,"-",2.19E-50,"--------",8009,-15.18,"-",4.55E-52,15266,-21.29,"-",1.42E-100,"-",394,-0.014,0.003,3.49E-06,"-",394,-0.018,0.003,4.37E-09,"--",515,-3.756,1.72E-04,"-",299,-0.039,0.006,1.77E-10,"--",567,-5.551,2.84E-08,"+",869,0.006,0.002,6.52E-03,"-",1244,-0.003,0.000,2.12E-16,"--",362,-2.554,1.07E-02
53918,35,"y","y",92106,"OXNAD1","------",7257,-15.586,"-",9.09E-55,"--------",8009,-14.32,"-",1.71E-46,15266,-21.116,"-",5.66E-99,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","?",0,"ns","ns","?",0,"ns","ns","ns","?-",354,-2.108,3.50E-02,"?",0,"ns","ns","ns","-",1244,-0.006,0.000,1.17E-31,"-?",134,-3.076,2.10E-03
27356,36,"y","y",1524,"CX3CR1","+++?++",6376,14.094,"+",4.14E-45,"++++++++",8009,15.66,"+",3.04E-55,14385,21.065,"+",1.67E-98,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","++",515,3.764,1.67E-04,"+",299,0.013,0.005,6.07E-03,"--",567,-2.337,1.94E-02,"+",869,0.000,0.001,7.58E-01,"?",0,"ns","ns","ns","++",362,0.023,9.82E-01
31436,37,"y","y",6322,"SCML1","------",7257,-13.999,"-",1.58E-44,"--------",8009,-15.69,"-",1.92E-55,15266,-21.013,"-",5.02E-98,"?",0,"ns","ns","ns","?",0,"ns","ns","ns","-?",302,-2.646,8.14E-03,"-",299,-0.053,0.008,4.62E-10,"?+",354,0.071,9.43E-01,"-",869,-0.006,0.003,4.99E-02,"?",0,"ns","ns","ns","--",362,-2.455,1.41E-02
48072,38,"y","y",6146,"RPL22","------",7257,-14.906,"-",3.03E-50,"--------",8009,-14.79,"-",1.79E-49,15266,-20.987,"-",8.61E-98,"-",394,-0.002,0.003,5.90E-01,"-",394,-0.013,0.003,7.26E-05,"--",515,-0.952,3.41E-01,"-",299,-0.036,0.010,5.59E-04,"-+",567,-1.084,2.78E-01,"-",869,-0.001,0.001,3.00E-01,"?",0,"ns","ns","ns","--",362,-2.038,4.15E-02
6504,39,"y","y",26119,"LDLRAP1","------",7257,-14.573,"-",4.19E-48,"--------",8009,-14.82,"-",1.15E-49,15266,-20.779,"-",6.69E-96,"+",394,0.004,0.003,2.45E-01,"?",0,"ns","ns","ns","--",515,-1.535,1.25E-01,"-",299,-0.028,0.006,9.82E-07,"--",567,-0.649,5.16E-01,"+",869,0.006,0.001,7.59E-07,"?",0,"ns","ns","ns","--",362,-2.466,1.37E-02
17478,40,"y","y",389,"RHOC","++++++",7257,12.894,"+",4.89E-38,"++++++++",8009,15.93,"+",3.71E-57,15266,20.431,"+",8.94E-93,"+",394,0.001,0.003,6.88E-01,"+",394,0.006,0.003,4.10E-02,"++",515,4.002,6.28E-05,"+",299,0.025,0.007,1.57E-04,"++",567,0.870,3.84E-01,"-",869,-0.001,0.001,4.36E-01,"?",0,"ns","ns","ns","++",362,3.000,2.70E-03
