Zeisel.CellClassID,Tasic.CellClassID,Tasic.label
S1PyrL23,L2/3 Ptgs2,L2/3 Ptgs2
S1PyrL4,L4 Arf5,L4 Arf5
S1PyrL5a,L5a Batf3,L5a Batf3
CelltypeNonSpecific,CelltypeNonSpecific,CelltypeNonSpecific
Astro1,Astro Aqp4,Astro Aqp4
Astro2,Astro Aqp4,Astro Aqp4
Oligo1,Oligo 9630013A20Rik,Oligo 9630013A20Rik
Oligo2,Oligo Opalin,Oligo Opalin
Oligo3,Oligo Opalin,Oligo Opalin
Oligo4,Oligo Opalin,Oligo Opalin/9630013A20Rik
Oligo5,Oligo Opalin,Oligo Opalin
Oligo6,Oligo Opalin,Oligo Opalin
